Date,Version,Version code in google play
2025-08-27 (水),4.6.0,92788
2025-08-04 (火),4.5.0,91214
2025-07-30 (水),4.4.0,90500
2025-07-18 (金),4.3.10,89425
2025-07-10 (木),4.3.0,89425
2025-06-28 (土),4.2.0,87744
2025-06-13 (金),4.1.10,86517
2025-06-07 (土),4.1.0,85631
2025-05-27 (火),4.0.1,84822
2025-05-20 (火),4.0.0,84072
2025-04-28 (月),3.1.0,82114
2025-04-17 (木),3.0.10,81271
2025-04-10 (木),3.0.0,80436
2025-03-28 (金),2.4.50,79329
2025-03-20 (木),2.4.46,78853
2025-03-18 (火),2.4.45,77439
2025-03-15 (土),2.4.43,55551
2025-02-27 (木),2.4.42,54580
2025-02-16 (日),2.4.41,53991
2025-02-05 (水),2.4.40,53450
2025-01-22 (水),2.4.30,52952
2025-01-17 (金),2.4.20,52291
2025-01-10 (金),2.4.15,51823
2024-12-18 (水),2.4.10,50440
2024-12-12 (木),2.4.2,50037
2024-11-25 (月),2.4.1,49179
2024-11-20 (水),2.4.0,48555
2024-10-26 (土),2.3.50,47380
2024-10-09 (水),2.3.40,46391
2024-09-30 (月),2.3.35,45682
2024-09-20 (金),2.3.30,45322
2024-08-30 (金),2.3.20,44389
2024-08-19 (月),2.3.10,43753
2024-08-09 (金),2.3.5,43388
2024-07-29 (月),2.3.0,42884
2024-07-19 (金),2.2.60,42072
2024-07-09 (火),2.2.50,41578
2024-06-28 (金),2.2.40,41117
2024-06-19 (水),2.2.30,40294
2024-06-10 (月),2.2.20,39578
2024-06-01 (土),2.2.15,39306
2024-05-31 (金),2.2.10,38964
2024-05-18 (土),2.2.1,38204
2024-05-10 (金),2.1.20,37373
2024-04-27 (土),2.1.10,36656
2024-04-19 (金),2.1.0,35890
2024-04-10 (水),2.0.0,34949
2024-03-25 (月),1.11.0,33571
2024-03-08 (金),1.10.60,32072
2024-02-27 (火),1.10.50,31239
2024-02-20 (火),1.10.40,30748
2024-02-09 (金),1.10.30,30182
2024-01-31 (水),1.10.20,29433
2024-01-20 (土),1.10.10,28797
2023-12-23 (土),1.10.0,27375
2023-12-10 (日),1.9.20,26233
2023-11-xx (x),1.9.10,25082
2023-11-18 (土),1.9.0,24349
2023-11-08 (水),1.8.20,23784
2023-10-28 (土),1.8.10,23046
2023-10-21 (土),1.8.0,22582
2023-10-16 (月),1.7.20,21997
2023-10-10 (火),1.7.10,21539
2023-10-01 (日),1.7.0,20789
2023-09-26 (火),1.6.20,20343
2023-09-16 (土),1.6.10,19862
2023-09-08 (金),1.6.5,18975
2023-08-30 (水),1.6.0,18142
2023-08-15 (火),1.5.0,17213
2023-08-04 (金),1.4.4,16690
2023-07-29 (土),1.4.3,16006
2023-07-21 (金),1.4.2,15455
2023-07-19 (水),1.4.1,15244
2023-07-13 (木),1.4.0,14640
2023-07-13 (木),1.3.5,13865
2023-07-01 (土),1.3.1,12971
2023-06-27 (火),1.3.0,12513
2023-06-17 (土),1.2.0,11817
2023-06-13 (火),1.1.2,10610
2023-05-31 (水),1.1.1,9470
2023-05-10 (水),1.0.3,977
2023-04-xx (x),1.0.2,813
